School Name,School ID,Public flag,School Type,SAU,SAU ID,County,Location,Mailing Street,Mailing City,Mailing Zip,Phone,Grade Low,Grade High,Contact,Contact Email
Williams-Cone School,990,Public,Public,RSU 75/MSAD 75,984,Sagadahoc,Topsham,19 Perkins Street,Topsham,04086,(207) 725-4391,PK,5,Randa Rineer,rineerr@link75.org
Windham High School,511,Public,Public,RSU 14,1455,Cumberland,Windham,406 Gray Road,Windham,04062,(207) 892-1810,9,12,Ryan Caron,rcaron@rsu14.org
Windham Middle School,513,Public,Public,RSU 14,1455,Cumberland,Windham,408 Gray Road,Windham,04062,(207) 892-1820,6,8,Gregory Applestein,gapplestein@rsu14.org
Windham Primary School,514,Public,Public,RSU 14,1455,Cumberland,Windham,24 Educational Way,Windham,04062,(207) 892-1840,KG,3,KYLE RHOADS,krhoads@RSU14.org
Windsor Elementary School,517,Public,Public,RSU 12,1451,Kennebec,Windsor,366 Ridge Road,Windsor,04363,(207) 445-2356,KG,8,Heather Wilson,hwilson@svrsu.org
Winslow Elementary School,521,Public,Public,Winslow Schools,518,Kennebec,Winslow,285 Benton Avenue,Winslow,04901,(207) 872-1967,PK,6,Erica Gower,egower@winslowk12.org
Winslow High School,519,Public,Public,Winslow Schools,518,Kennebec,Winslow,20 Danielson Street,Winslow,04901,(207) 872-1990,9,12,CHAD BELL,cbell@aos92.org
Winslow Junior High School,520,Public,Public,Winslow Schools,518,Kennebec,Winslow,30 Danielson Street,Winslow,04901,(207) 872-1973,7,8,JASON BRIGGS,jbriggs@aos92.org
Winthrop Grade School,525,Public,Public,Winthrop Public Schools,524,Kennebec,Winthrop,23 Highland Avenue,Winthrop,04364,(207) 377-2241,PK,5,JOLENE RANDALL,jrandall@winthropschools.org
Winthrop High School,526,Public,Public,Winthrop Public Schools,524,Kennebec,Winthrop,211 Rambler Road,Winthrop,04364,(207) 377-2228,9,12,JAY DUFOUR,jdufour@winthropschools.org
Winthrop Middle School,527,Public,Public,Winthrop Public Schools,524,Kennebec,Winthrop,400 Rambler Road,Winthrop,04364,(207) 377-2249,6,8,Lori Smail,lsmail@winthropschools.org
Wiscasset Elementary School,529,Public,Public,Wiscasset Public Schools,1671,Lincoln,Wiscasset,83 Federal Street,Wiscasset,04578,(207) 882-7767,PK,5,AMY BAYHA,abayha@wiscassetschools.org
Wiscasset Middle/High School,530,Public,Public,Wiscasset Public Schools,1671,Lincoln,Wiscasset,272 Gardiner Road,Wiscasset,04578,(207) 882-7722,6,12,Gina Stevens,gstevens@wiscassetschools.org
Wisdom Middle High School,729,Public,Public,RSU 33/MSAD 33,726,Aroostook,Saint Agatha,PO Box 69,Saint Agatha,04772,(207) 543-7717,6,12,CHERYL HALLOWELL,challowell@msad33.org
Woodland Consolidated Sch,533,Public,Public,Woodland Public Schools,532,Aroostook,Woodland,844 Woodland Ctr Road,Woodland,04736,(207) 496-2981,PK,8,GILLIAN LAIRD-SLEEPER,gillian.sleeper@schoolunion122.net
Woodland Elementary School,40,Public,Public,Baileyville Public Schools,38,Washington,Baileyville,23 Fourth Avenue,Baileyville,04694,(207) 427-3882,PK,6,ALYSSA STEPHENS,stephens@su107.org
Woodland Jr-Sr High School,39,Public,Public,Baileyville Public Schools,38,Washington,Baileyville,14 First Avenue,Baileyville,04694,(207) 427-3325,7,12,Michealene Spencer,spencer@su107.org
Woodside Elementary School,992,Public,Public,RSU 75/MSAD 75,984,Sagadahoc,Topsham,42 Barrows Drive,Topsham,04086,(207) 725-1243,KG,5,Richard Dedek,dedekr@link75.org
Woodstock School,794,Public,Public,RSU 44/MSAD 44,789,Oxford,Bryant Pond,224 Rumford Avenue,Bryant Pond,04219,(207) 665-2228,KG,5,ELIZABETH CLARKE,clarkee@sad44.org
Woolwich Central School,536,Public,Public,RSU 01 - LKRSU,1438,Sagadahoc,Woolwich,137 Nequasset Road,Woolwich,04579,(207) 443-9739,PK,8,Jason Libby,jlibby@rsu1.org
Yarmouth Elementary School,540,Public,Public,Yarmouth Schools,537,Cumberland,Yarmouth,121 McCartney Street,Yarmouth,04096,(207) 846-3391,2,5,Ryan Gleason,ryan_gleason@yarmouthschools.org
Yarmouth High School,539,Public,Public,Yarmouth Schools,537,Cumberland,Yarmouth,286 West Elm Street,Yarmouth,04096,(207) 846-5535,9,12,Patrick Hartnett,patrick_hartnett@yarmouthschools.org
York High School,545,Public,Public,York Public Schools,542,York,York,1 Robert Stevens Drive,York,03909,(207) 363-3621,9,12,Michael Bennett,mbennett@yorkschools.org
York Middle School,544,Public,Public,York Public Schools,542,York,York,30 Organug Road,York,03909,(207) 363-4214,5,8,Barbara Maling,bmaling@yorkschools.org
Young School,410,Public,Public,Saco Public Schools,1662,York,Saco,36 Tasker St,Saco,04072,(207) 284-7053,KG,2,Jeffrey Mears,JMEARS@SACOSCHOOLS.ORG
